,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
421,0.2055172,d,149.0,0.07478995,d,773.0,10.1093/jcr/ucz031,Hanyong Park; Ashok K. Lalwani; David H. Silvera,The Impact of Resource Scarcity on Price-Quality Judgments,Journal of Consumer Research,46.0,6,1110,2019.0,,,,,,,,,Marketing,Scarcity decreases consumers‚Äô tendency to use price to judge product quality.,"scarcity, resource, price-quality judgments, price-quality perception, categorization, desire for abundance",inconclusive,<i></i>,"<a href=""https://doi.org/10.1093/jcr/ucz031"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Park H. <i>et al.</i> <i>Journal of Consumer Research</i> 2019</a>"
422,0.2470929,d,213.0,0.2379622,d,769.0,10.1177/0022243720904758,Luca Cian; Chiara Longoni; Aradhna Krishna,Advertising a Desired Change: When Process Simulation Fosters (vs. Hinders) Credibility and Persuasion,Journal of Marketing Research,57.0,3,489,2020.0,,,,,,,,,Marketing,The authors of this paper hypothesize that consumers judge Progression ads to be more credible than simple Before/After ads.,,success,<i></i>,"<a href=""https://doi.org/10.1177/0022243720904758"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cian L. <i>et al.</i> <i>Journal of Marketing Research</i> 2020</a>"
423,0.2101967,d,87.0,0.04993762,d,702.0,10.1093/jcr/ucaa006,Noah Vanbergen; Caglar Irmak; Julio Sevilla,Product Entitativity: How the Presence of Product Replicates Increases Perceived and Actual Product Efficacy,Journal of Consumer Research,47.0,2,192,2020.0,,,,,,,,,Marketing,This study examines the hypothesis that a ‚Äúproduct would be perceived as more efficacious when represented [in an advertisement] by multiple product replicates (vs. a single product).,"entitativity, product quantity, perceived efficacy",inconclusive,<i></i>,"<a href=""https://doi.org/10.1093/jcr/ucaa006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Vanbergen N. <i>et al.</i> <i>Journal of Consumer Research</i> 2020</a>"
424,0.2961886,OR,166.0,0.1074464,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description does not produce differences of impression in terms of the perceived honesty.,"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
425,0.1128779,OR,166.0,0.2468976,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description does not produce differences of impression in terms of the perceived physical attractiveness. (Good-looking vs Unattractive),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
426,0.385185,OR,166.0,0.2458998,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description does not produce differences of impression in terms of the perceived reliability. (Reliable vs. Unreliable),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
427,0.2377424,OR,166.0,0.2207329,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description does not produce differences of impression in terms of the perceived strength.(Strong vs. Weak),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
428,0.6149724,OR,166.0,0.3196522,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as happier (Happy vs. Unhappy),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
429,0.5297756,OR,166.0,0.2996667,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more altruistic.(Altruistic vs. Self-centred),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
430,0.7926369,OR,166.0,0.6378879,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more generous (Generous vs. Ungenerous),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
431,0.7689967,OR,166.0,0.3805726,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more good-natured (Good-natured vs. Irritable),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
432,0.5723679,OR,166.0,0.521104,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more humane. (Humane vs. Ruthless),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
433,0.6436847,OR,166.0,0.1966434,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more humorous (Humorous vs. Humourless).,"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
434,0.3872948,OR,166.0,0.5155575,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more imaginative.(Imaginative vs. Hard-headed),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
435,0.5874526,OR,166.0,0.5032551,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more popular.(Popular vs. Unpopular),"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
436,0.6096389,OR,166.0,0.4825849,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as more sociable (Sociable vs. Unsociable).,"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
437,0.4304317,OR,166.0,0.1614143,OR,183.0,10.1037/h0055756,S. E. Asch,Forming impressions of personality.,The Journal of Abnormal and Social Psychology,41.0,3,258,1946.0,,,,,,,,,Social psychology,a warm vs. a cold person description produces differences of impression; a warm person is perceived as wiser.,"First impression, Impression formation, Variation of a central quality in impression formation,impression formation",success,<i></i>,"<a href=""https://doi.org/10.1037/h0055756"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Asch S. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1946</a>"
438,,,,,,,10.1037/h0074049,D. Katz; K. Braly,Racial stereotypes of one hundred college students.,The Journal of Abnormal and Social Psychology,28.0,3,280-290,1933.0,10.1080/02732173.1991.9981978,John Shelton Reed,"Continuity and change in the regional stereotypes of southern college students, 1970–1987",Sociological Spectrum,11.0,4,369-377,1991.0,,,,inconclusive,"<a href=""https://doi.org/10.1080/02732173.1991.9981978"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Reed J. <i>et al.</i> <i>Sociological Spectrum</i> 1991</a>","<a href=""https://doi.org/10.1037/h0074049"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Katz D. <i>et al.</i> <i>The Journal of Abnormal and Social Psychology</i> 1933</a>"
439,,,,,,,10.1037/h0054651,J. R. Stroop,Studies of interference in serial verbal reactions.,Journal of Experimental Psychology,18.0,6,643-662,1935.0,10.1016/j.jesp.2015.10.012,Charles R. Ebersole; Olivia E. Atherton; Aimee L. Belanger; Hayley M. Skulborstad; Jill M. Allen; Jonathan B. Banks; Erica Baranski; Michael J. Bernstein; Diane B.V. Bonfiglio; Leanne Boucher; Elizabeth R. Brown; Nancy I. Budiman; Athena H. Cairo; Colin A. Capaldi; Christopher R. Chartier; Joanne M. Chung; David C. Cicero; Jennifer A. Coleman; John G. Conway; William E. Davis; Thierry Devos; Melody M. Fletcher; Komi German; Jon E. Grahe; Anthony D. Hermann; Joshua A. Hicks; Nathan Honeycutt; Brandon Humphrey; Matthew Janus; David J. Johnson; Jennifer A. Joy-Gaba; Hannah Juzeler; Ashley Keres; Diana Kinney; Jacqeline Kirshenbaum; Richard A. Klein; Richard E. Lucas; Christopher J.N. Lustgraaf; Daniel Martin; Madhavi Menon; Mitchell Metzger; Jaclyn M. Moloney; Patrick J. Morse; Radmila Prislin; Timothy Razza; Daniel E. Re; Nicholas O. Rule; Donald F. Sacco; Kyle Sauerberger; Emily Shrider; Megan Shultz; Courtney Siemsen; Karin Sobocko; R. Weylin Sternglanz; Amy Summerville; Konstantin O. Tskhay; Zack van Allen; Leigh Ann Vaughn; Ryan J. Walker; Ashley Weinberg; John Paul Wilson; James H. Wirth; Jessica Wortman; Brian A. Nosek,Many Labs 3: Evaluating participant pool quality across the academic semester via replication,Journal of Experimental Social Psychology,67.0,,68-82,2016.0,,,,success,"<a href=""https://doi.org/10.1016/j.jesp.2015.10.012"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ebersole C. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2016</a>","<a href=""https://doi.org/10.1037/h0054651"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Stroop J. <i>et al.</i> <i>Journal of Experimental Psychology</i> 1935</a>"
440,,,,,,,10.1037/h0076284,Robert B. Cialdini; Joyce E. Vincent; Stephen K. Lewis; Jose Catalan; Diane Wheeler; Betty Lee Darby,Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique.,Journal of Personality and Social Psychology,31.0,2,206-215,1975.0,10.31234/osf.io/w87yr,Oliver Genschow; Mareike Westfal; Jan Crusius; Léon Bartosch; Kyra Isabel Feikes; Nina Pallasch; Mirella Wozniak,Does social psychology persist over half a century?  A direct replication of Cialdini et al.’s (1975) classic door-in-the-face technique,,,,,2020.0,,,,success,"<a href=""https://doi.org/10.31234/osf.io/w87yr"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Genschow O. <i>et al.</i> <i></i> 2020</a>","<a href=""https://doi.org/10.1037/h0076284"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cialdini R. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 1975</a>"
441,,,,,,,10.1037/h0076284,Robert B. Cialdini; Joyce E. Vincent; Stephen K. Lewis; Jose Catalan; Diane Wheeler; Betty Lee Darby,Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique.,Journal of Personality and Social Psychology,31.0,2,206-215,1975.0,10.1037/pspa0000261,Oliver Genschow; Mareike Westfal; Jan Crusius; Léon Bartosch; Kyra Isabel Feikes; Nina Pallasch; Mirella Wozniak,Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975) classic door-in-the-face technique.,Journal of Personality and Social Psychology,120.0,2,e1-e7,2021.0,,,,success,"<a href=""https://doi.org/10.1037/pspa0000261"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Genschow O. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 2021</a>","<a href=""https://doi.org/10.1037/h0076284"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cialdini R. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 1975</a>"
442,,,,,,,10.1016/0022-1031(77)90049-x,Lee Ross; David Greene; Pamela House,The “false consensus effect”: An egocentric bias in social perception and attribution processes,Journal of Experimental Social Psychology,13.0,3,279-301,1977.0,10.1177/2515245918810225,Richard A. Klein; Michelangelo Vianello; Fred Hasselman; Byron G. Adams; Reginald B. Adams; Sinan Alper; Mark Aveyard; Jordan R. Axt; Mayowa T. Babalola; Štěpán Bahník; Rishtee Batra; Mihály Berkics; Michael J. Bernstein; Daniel R. Berry; Olga Bialobrzeska; Evans Dami Binan; Konrad Bocian; Mark J. Brandt; Robert Busching; Anna Cabak Rédei; Huajian Cai; Fanny Cambier; Katarzyna Cantarero; Cheryl L. Carmichael; Francisco Ceric; Jesse Chandler; Jen-Ho Chang; Armand Chatard; Eva E. Chen; Winnee Cheong; David C. Cicero; Sharon Coen; Jennifer A. Coleman; Brian Collisson; Morgan A. Conway; Katherine S. Corker; Paul G. Curran; Fiery Cushman; Zubairu K. Dagona; Ilker Dalgar; Anna Dalla Rosa; William E. Davis; Maaike de Bruijn; Leander de Schutter; Thierry Devos; Marieke de Vries; Canay Doğulu; Nerisa Dozo; Kristin Nicole Dukes; Yarrow Dunham; Kevin Durrheim; Charles R. Ebersole; John E. Edlund; Anja Eller; Alexander Scott English; Carolyn Finck; Natalia Frankowska; Miguel-Ángel Freyre; Mike Friedman; Elisa Maria Galliani; Joshua C. Gandi; Tanuka Ghoshal; Steffen R. Giessner; Tripat Gill; Timo Gnambs; Ángel Gómez; Roberto González; Jesse Graham; Jon E. Grahe; Ivan Grahek; Eva G. T. Green; Kakul Hai; Matthew Haigh; Elizabeth L. Haines; Michael P. Hall; Marie E. Heffernan; Joshua A. Hicks; Petr Houdek; Jeffrey R. Huntsinger; Ho Phi Huynh; Hans Ijzerman; Yoel Inbar; Åse H. Innes-Ker; William Jiménez-Leal; Melissa-Sue John; Jennifer A. Joy-Gaba; Roza G. Kamiloğlu; Heather Barry Kappes; Serdar Karabati; Haruna Karick; Victor N. Keller; Anna Kende; Nicolas Kervyn; Goran Knežević; Carrie Kovacs; Lacy E. Krueger; German Kurapov; Jamie Kurtz; Daniël Lakens; Ljiljana B. Lazarević; Carmel A. Levitan; Neil A. Lewis; Samuel Lins; Nikolette P. Lipsey; Joy E. Losee; Esther Maassen; Angela T. Maitner; Winfrida Malingumu; Robyn K. Mallett; Satia A. Marotta; Janko Međedović; Fernando Mena-Pacheco; Taciano L. Milfont; Wendy L. Morris; Sean C. Murphy; Andriy Myachykov; Nick Neave; Koen Neijenhuijs; Anthony J. Nelson; Félix Neto; Austin Lee Nichols; Aaron Ocampo; Susan L. O’Donnell; Haruka Oikawa; Masanori Oikawa; Elsie Ong; Gábor Orosz; Malgorzata Osowiecka; Grant Packard; Rolando Pérez-Sánchez; Boban Petrović; Ronaldo Pilati; Brad Pinter; Lysandra Podesta; Gabrielle Pogge; Monique M. H. Pollmann; Abraham M. Rutchick; Patricio Saavedra; Alexander K. Saeri; Erika Salomon; Kathleen Schmidt; Felix D. Schönbrodt; Maciej B. Sekerdej; David Sirlopú; Jeanine L. M. Skorinko; Michael A. Smith; Vanessa Smith-Castro; Karin C. H. J. Smolders; Agata Sobkow; Walter Sowden; Philipp Spachtholz; Manini Srivastava; Troy G. Steiner; Jeroen Stouten; Chris N. H. Street; Oskar K. Sundfelt; Stephanie Szeto; Ewa Szumowska; Andrew C. W. Tang; Norbert Tanzer; Morgan J. Tear; Jordan Theriault; Manuela Thomae; David Torres; Jakub Traczyk; Joshua M. Tybur; Adrienn Ujhelyi; Robbie C. M. van Aert; Marcel A. L. M. van Assen; Marije van der Hulst; Paul A. M. van Lange; Anna Elisabeth van ’T Veer; Alejandro Vásquez- Echeverría; Leigh Ann Vaughn; Alexandra Vázquez; Luis Diego Vega; Catherine Verniers; Mark Verschoor; Ingrid P. J. Voermans; Marek A. Vranka; Cheryl Welch; Aaron L. Wichman; Lisa A. Williams; Michael Wood; Julie A. Woodzicka; Marta K. Wronska; Liane Young; John M. Zelenski; Zeng Zhijia; Brian A. Nosek,Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,Advances in Methods and Practices in Psychological Science,1.0,4,443-490,2018.0,,,,success,"<a href=""https://doi.org/10.1177/2515245918810225"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Klein R. <i>et al.</i> <i>Advances in Methods and Practices in Psychological Science</i> 2018</a>","<a href=""https://doi.org/10.1016/0022-1031(77)90049-x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ross L. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 1977</a>"
443,,,,,,,10.1037/0096-1523.3.4.544,Paul Slovic; Baruch Fischhoff,On the psychology of experimental surprises.,Journal of Experimental Psychology: Human Perception and Performance,3.0,4,544-551,1977.0,10.1016/j.jesp.2021.104154,Jieying Chen; Lok Ching Kwan; Lok Yeung Ma; Hiu Yee Choi; Ying Ching Lo; Shin Yee Au; Chi Ho Tsang; Bo Ley Cheng; Gilad Feldman,Retrospective and prospective hindsight bias: Replications and extensions of Fischhoff (1975) and Slovic and Fischhoff (1977),Journal of Experimental Social Psychology,96.0,,104154,2021.0,,,,success,"<a href=""https://doi.org/10.1016/j.jesp.2021.104154"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Chen J. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2021</a>","<a href=""https://doi.org/10.1037/0096-1523.3.4.544"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Slovic P. <i>et al.</i> <i>Journal of Experimental Psychology: Human Perception and Performance</i> 1977</a>"
444,,,,,,,10.1016/0001-6918(81)90005-6,Ola Svenson,Are we all less risky and more skillful than our fellow drivers?,Acta Psychologica,47.0,2,143-148,1981.0,10.15626/mp.2021.2932,Lina Koppel; David Andersson; Gustav Tinghög; Daniel Västfjäll; Gilad Feldman,We are all less risky and more skillful than our fellow drivers: Successful replication and extension of Svenson (1981)‎,Meta-Psychology,7.0,,,2023.0,,,,success,"<a href=""https://doi.org/10.15626/mp.2021.2932"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Koppel L. <i>et al.</i> <i>Meta-Psychology</i> 2023</a>","<a href=""https://doi.org/10.1016/0001-6918(81)90005-6"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Svenson O. <i>et al.</i> <i>Acta Psychologica</i> 1981</a>"
445,,,,,,,10.1016/0010-0285(83)90002-6,Mary L. Gick; Keith J. Holyoak,Schema induction and analogical transfer,Cognitive Psychology,15.0,1,1-38,1983.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1016/0010-0285(83)90002-6"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Gick M. <i>et al.</i> <i>Cognitive Psychology</i> 1983</a>"
446,,,,,,,10.1037/0022-3514.45.4.782,Robert T. Croyle; Joel Cooper,Dissonance arousal: Physiological evidence.,Journal of Personality and Social Psychology,45.0,4,782-791,1983.0,10.1177/25152459231213375,David C. Vaidis; Willem W. A. Sleegers; Florian van Leeuwen; Kenneth G. Demarree; Bjørn Sætrevik; Robert M. Ross; Kathleen Schmidt; John Protzko; Coby Morvinski; Omid Ghasemi; Andrew J. Roberts; Jeff Stone; Alexandre Bran; Amélie Gourdon-Kanhukamwe; Ceren Gunsoy; Lisa S. Moussaoui; Andrew R. Smith; Armelle Nugier; Marie-Pierre Fayant; Ali H. Al-Hoorie; Obed K. Appiah; Spencer Arbige; Benjamin Aubert-Teillaud; Olga Bialobrzeska; Stéphanie Bordel; Valerian Boudjemadi; Hilmar Brohmer; Quinn Cabooter; Mehdi Chahir; Ianis Chassang; Armand Chatard; Yu Yang Chou; Sungeun Chung; Mioara Cristea; Joséphine Daga; Gregory J. Depow; Olivier Desrichard; Dmitrii Dubrov; Thomas R. Evans; Séverine Falkowicz; Sylvain Ferreira; Tim Figureau; Valérie Fointiat; Théo Friedrich; Anastasia Gashkova; Fabien Girandola; Marine Granjon; Dmitry Grigoryev; Gul Gunaydin; Şevval Güzel; Mahsa Hazrati; Mai Helmy; Ayumi Ikeda; Michael Inzlicht; Sara Jaubert; Dauren Kasanov; Mohammad Mohsen Khoddami; Taenyun Kim; Kiyoshi Kiyokawa; Rabia I. Kodapanakkal; Alexandra Kosachenko; Kortney Maedge; John H. Mahaney; Marie-Amélie Martinie; Vitor N. Mascheretti; Yoriko Matsuda; Maxime Mauduy; Nicolas Mauny; Armand Metzen; Eva Moreno-Bella; Miguel Moya; Kévin Nadarajah; Pegah Nejat; Elisabeth Norman; Irmak Olcaysoy Okten; Asil A. Özdoğru; Ceyda Ozer; Elena Padial-Rojas; Yuri G. Pavlov; Monica Perusquia-Hernandez; Dora Proost; Aleksandra Rabinovitch; Odile Rohmer; Emre Selcuk; Cécile Sénémeaud; Yaniv Shani; Elena A. Shmeleva; Emmelie Simoens; Kaitlin A. Smith; Alain Somat; Hayeon Song; Fatih Sonmez; Lionel Souchet; John J. Taylor; Ilja van Beest; Nicolas van der Linden; Steven Verheyen; Bruno Verschuere; Kevin Vezirian; Luc Vieira; Sera Wiechert; Guillermo B. Willis; Robin Wollast; Ji Xia; Yuki Yamada; Naoto Yoshimura; Daniel Priolo,A Multilab Replication of the Induced-Compliance Paradigm of Cognitive Dissonance,Advances in Methods and Practices in Psychological Science,7.0,1,,2024.0,,,,failure,"<a href=""https://doi.org/10.1177/25152459231213375"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Vaidis D. <i>et al.</i> <i>Advances in Methods and Practices in Psychological Science</i> 2024</a>","<a href=""https://doi.org/10.1037/0022-3514.45.4.782"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Croyle R. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 1983</a>"
447,,,,,,,10.1111/j.1460-2466.1984.tb02164.x,Gavriel Salomon; Tamar Leigh,"Predispositions about Learning from, Print and Television",Journal of Communication,34.0,2,119-135,1984.0,10.1007/bf02298289,Johannes W. J. Beentjes,Learning from television and books: A dutch replication study based on salomon's model,Educational Technology Research and Development,37.0,2,47-58,1989.0,,,,failure,"<a href=""https://doi.org/10.1007/bf02298289"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Beentjes J. <i>et al.</i> <i>Educational Technology Research and Development</i> 1989</a>","<a href=""https://doi.org/10.1111/j.1460-2466.1984.tb02164.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Salomon G. <i>et al.</i> <i>Journal of Communication</i> 1984</a>"
448,,,,,,,10.1037/0022-3514.46.4.778,Shanto Iyengar; Donald R. Kinder; Mark D. Peters; Jon A. Krosnick,The evening news and presidential evaluations.,Journal of Personality and Social Psychology,46.0,4,778-787,1984.0,10.1017/xps.2017.8,Tetsuro Kobayashi; Asako Miura; Kazunori Inamasu,Media Priming Effect: A Preregistered Replication Experiment,Journal of Experimental Political Science,4.0,1,81-94,2017.0,,"The “media priming effect”: by drawing attention to certain issues while ignoring others, television news programs help define the standards by which presidents are evaluated.",,failure,"<a href=""https://doi.org/10.1017/xps.2017.8"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Kobayashi T. <i>et al.</i> <i>Journal of Experimental Political Science</i> 2017</a>","<a href=""https://doi.org/10.1037/0022-3514.46.4.778"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Iyengar S. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 1984</a>"
449,,,,,,,10.1037/0022-3514.49.6.1621,Mark D. Alicke,Global self-evaluation as determined by the desirability and controllability of trait adjectives.,Journal of Personality and Social Psychology,49.0,6,1621-1630,1985.0,10.1177/1948550620948973,Ignazio Ziano; Pui Yan (Cora) Mok; Gilad Feldman,Replication and Extension of Alicke (1985) Better-Than-Average Effect for Desirable and Controllable Traits,Social Psychological and Personality Science,12.0,6,1005-1017,2021.0,,,,success,"<a href=""https://doi.org/10.1177/1948550620948973"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ziano I. <i>et al.</i> <i>Social Psychological and Personality Science</i> 2021</a>","<a href=""https://doi.org/10.1037/0022-3514.49.6.1621"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Alicke M. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 1985</a>"
450,,,,,,,10.1037/0033-295x.93.2.136,Daniel Kahneman; Dale T. Miller,Norm theory: Comparing reality to its alternatives.,Psychological Review,93.0,2,136-153,1986.0,10.1080/02699931.2018.1504747,Lucas Kutscher; Gilad Feldman,The impact of past behaviour normality on regret: replication and extension of three experiments of the exceptionality effect,Cognition and Emotion,33.0,5,901-914,2019.0,,,,success,"<a href=""https://doi.org/10.1080/02699931.2018.1504747"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Kutscher L. <i>et al.</i> <i>Cognition and Emotion</i> 2019</a>","<a href=""https://doi.org/10.1037/0033-295x.93.2.136"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Kahneman D. <i>et al.</i> <i>Psychological Review</i> 1986</a>"
