"description","tags","osf_link","result","ref_original","ref_replication"
"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.","Attention, Conflict (Psychology), Field Dependence-Independence, Humans, Inhibition (Psychology), Pattern Recognition, Visual, Reaction Time, Reading, Semantics","https://osf.io/uhpyr/","OS not significant","N Janssen, W Schirm, BZ Mahon, A Caramazza (2008).“Semantic Interference in a Delayed Naming Task: Evidence for the Response Exclusion Hypothesis.” Journal of Experimental Psychology: Learning Memory and Cognition, 34(1), 249-256.","Galak, J. (2023, September 28). Replication of Janssen and colleagues (2008, JEP:LMC, Study 1). Retrieved from osf.io/uhpyr"
"Adaptive memory: The comparative value of survival processing.","Adaptation, Physiological, Adaptation, Psychological, Humans, Memory [physiology], Survival, Vocabulary","https://osf.io/jhkpe/","Success","Nairne, J.S., Pandeirada, J.N.S., & Thompson, S.R. (2008). Adaptive memory: The comparative value of survival processing. Psychological Science, 19(2), 176–180.","Renkewitz, F., & Müller, S. M. (2023, September 28). Replication of Nairne, Pandeirada, & Thompson (2008, PS, Study 2). Retrieved from osf.io/jhkpe"
"Moderated mediation of cognitive elaboration and perceived source credibility on personalness of source","","https://osf.io/xwn9m/","OS not significant","Nekmat, E., Gower, K. K., Zhou, S., & Metzger, M. (2019). Connective-collective action on social media: Moderated mediation of cognitive elaboration and perceived source credibility on personalness of source. Communication Research, 46(1), 62-87.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"There is a positive association between participants’ age and their age estimate of the ‘my wife/mother-in-law’ ambiguous figure.","ambiguous figure, face perception, social group bias, own-age anchor effect, cognitive penetrability","osf.io/y3bqa/","Success","Nicholls, M. E. R., Churches, O. & Loetscher, T. (2018). Perception of an ambiguous figure is affected by own-age social biases. Scientific Reports, 8, 12661.","Brouwer, A., Jin, X., Waldi, A. H., & Verheyen, S. (2021). Age biases the judgment rather than the perception of an ambiguous figure. Scientific Reports, 11, 8627."
"Older participants who are briefly presented with the ‘my wife/mother-in-law’ ambiguous figure estimate its age to be higher than young participants do.","ambiguous figure, face perception, social group bias, own-age anchor effect, cognitive penetrability","osf.io/y3bqa/","Success","Nicholls, M. E. R., Churches, O. & Loetscher, T. (2018). Perception of an ambiguous figure is affected by own-age social biases. Scientific Reports, 8, 12661.","Brouwer, A., Jin, X., Waldi, A. H., & Verheyen, S. (2021). Age biases the judgment rather than the perception of an ambiguous figure. Scientific Reports, 11, 8627."
"participants who respond as nonobjectivists about canonical moral violations still treat such violations in typical ways","experimental philosophy","osf.io/bv4ep","Success","Nichols, S. (2004). After objectivity: An empirical study of moral judgment. Philosophical Psychology, 17(1), 3-26. Chicago.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
"Inequality and visibility of wealth in experimental social networks","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Success","Nishi, A., Shirado, H., Rand, D. G., & Christakis, N. A. (2015). Inequality and visibility of wealth in experimental social networks. Nature, 526(7573), 426-429.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?","Attention, Child, Preschool, Comprehension, Female, Humans, Language Development, Male, Personal Construct Theory, Semantics, Verbal Learning, Visual Perception","https://osf.io/aczvt/","Failure","Nurmsoo, E., & Bloom, P. (2008). Preschoolers' Perspective Taking in Word Learning Do They Blindly Follow Eye Gaze?. Psychological Science, 19(3), 211-215.","Brown, B. T., Kleinberg, B., Hicks, G., Bentley, H., Attridge, P. R., Eboigbe, S., … Brown, K. (2023, September 28). Replication of Nurmsoo & Bloom (2008, PS, Study 1). Retrieved from osf.io/aczvt"
"perceived trajectory of rationality versus emotionality over time","","https://osf.io/xwn9m/","Failure","O'Brien, E. (2015). Mapping out past and future minds: The perceived trajectory of rationality versus emotionality over time. Journal of Experimental Psychology: General, 144(3), 624.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.","Adolescent, Adult, Association Learning, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Male, Memory, Short-Term, Orientation, Reaction Time, Serial Learning","https://osf.io/gcj7x/","Failure","Oberauer, Klaus. ""How to say no: Single-and dual-process theories of short-term recognition tested on negative probes."" Journal of Experimental Psychology: Learning, Memory, and Cognition 34.3 (2008): 439","Neijenhuijs, K. I., Luteijn, I., Bosch, A., van der Hulst, M., Dorsthorst, A. t, van de Ven, M., & Weerdmeester, J. W. (2023, September 28). Replication of K Oberauer (2008, JEPLMC 34(3), Exp 3). Retrieved from osf.io/gcj7x"
"hidden gender biases in competence impressions of faces","","https://osf.io/xwn9m/","OS not significant","Oh, D., Buck, E. A., & Todorov, A. (2019). Revealing hidden gender biases in competence impressions of faces. Psychological Science, 30(1), 65-79.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Costs and benefits of graph literacy","","https://osf.io/xwn9m/","Success","Okan, Y., Garcia-Retamero, R., Cokely, E. T., & Maldonado, A. (2018). Biasing and debiasing health decisions with bar graphs: Costs and benefits of graph literacy. Quarterly Journal of Experimental Psychology, 71(12), 2506-2519.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Brief intervention to encourage empathic discipline cuts suspension rates in half among adolescents","","https://osf.io/xwn9m/","Failure","Okonofua, J. A., Paunesku, D., & Walton, G. M. (2016). Brief intervention to encourage empathic discipline cuts suspension rates in half among adolescents. Proceedings of the National Academy of Sciences, 113(19), 5221-5226.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Cognitive Control Mode Predicts Behavioral Expression of Model-Based Reinforcement-Learning","","https://osf.io/xwn9m/","Success","Otto, R. A., Skatova, A., Madlon-Kay, S., & Daw, N. (2014). Cognitive Control Mode Predicts Behavioral Expression of Model-Based Reinforcement-Learning. In Proceedings of the Annual Meeting of the Cognitive Science Society (Vol. 36, No. 36).","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Implicit theories of interest: Finding your passion or developing it?","","https://osf.io/xwn9m/","Failure","O’Keefe, P. A., Dweck, C. S., & Walton, G. M. (2018). Implicit theories of interest: Finding your passion or developing it?. Psychological science, 29(10), 1653-1664.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.","Adolescent, Adult, Choice Behavior, Decision Making, Female, Humans, Male, Mental Processes, Middle Aged","https://osf.io/v8vft/","Success","P Fischer, S Schulz-Hardt, D Frey (2008). Selective exposure and information quantity: how different information quantities moderate decision makers' preference for consistent and inconsistent information. Journal of Personality and Social Psychology, 94.2: 231-244.","Ratliff, K. A. (2023, September 28). Replication of Fischer et al. (2008, JPSP, Study 4). Retrieved from osf.io/v8vft"
"The space between us: Stereotype threat and distance in interracial contexts.","African Americans, Analysis of Variance, European Continental Ancestry Group [psychology], Humans, Male, Prejudice, Social Distance, Stereotyping, United States","https://osf.io/abxcj/","Failure","P.A. Goff, C.M. Steele, & P.G. Davies, 2008. The space between us: Stereotype threat and distance in interracial contexts. Journal of Personality and Social Psychology, 94, 91-107.","Kelso, K., Gampa, A., Wright, E. C., Spencer, N. B., & Welsh, A. (2023, September 28). Replication of Goff, Steele, and Davies (JPSP, 2008, Study 4). Retrieved from osf.io/abxcj"
"An attention-based associative account of adjacent and nonadjacent dependency learning.","Association Learning, Attention, Field Dependence-Independence, Humans, Orientation, Pattern Recognition, Visual, Problem Solving, Reproducibility of Results","https://osf.io/vmz2e/","Success","Pacton, S., & Perruchet, P. (2008). An attention-based associative account of adjacent and nonadjacent dependency learning. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 80-96.","Jahn, G. (2023, September 28). Replication of Pacton & Perruchet (2008, JEP:LMC, Study 4b). Retrieved from osf.io/vmz2e"
"Scarcity decreases consumers’ tendency to use price to judge product quality.","scarcity, resource, price-quality judgments, price-quality perception, categorization, desire for abundance","","Success","Park, H., Lalwani, A.K., & Silvera, D.H. (2020). The Impact of Resource Scarcity on Price-Quality Judgments. Journal of Consumer Research. Study 2a","Simmons, J. &. Nelson, L.D. (2020). [89] Data Replicada #6: The Problem of (Weird) Differential Attrition. Data Colada.  https://datacolada.org/89"
"Reflection and reasoning in moral judgment","","https://osf.io/xwn9m/","Success","Paxton, J. M., Ungar, L., & Greene, J. D. (2012). Reflection and reasoning in moral judgment. Cognitive science, 36(1), 163-177.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Why do implicit and explicit attitude tests diverge? The role of structural fit.","Adolescent, Adult, Alcohol Drinking, Analysis of Variance, Attitude, Behavioral Research [methods], Cognition, Emotions, Factor Analysis, Statistical, Female, Humans, Male, Prejudice, Psychological Tests, Reproducibility of Results, Social Conformity, Social Perception, Truth Disclosure","https://osf.io/rc6mv/","Success","Payne, B. K. Burkley, M. A. Stokes, M. B. (2008). Why Do Implicit and Explicit Attitude Tests Diverge? The Role of Structural Fit. Journal of Personality and Social Psychology, 94, 16–31.","Vianello, M. (2023, September 28). Replication of Payne, Burkley & Stokes (2008, JPSP, Study 4). Retrieved from osf.io/rc6mv"
"Data quality of platforms and panels for online behavioral research","","https://osf.io/xwn9m/","Failure","Peer, E., Rothschild, D., Gordon, A., Evernden, Z., & Damer, E. (2022). Data quality of platforms and panels for online behavioral research. Behavior Research Methods, 54(4), 1643-1662.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Genetic predisposition for CFS, GPBAR1 gene","CFS, human genetics ,","","Failure","Perez, M., Jaundoo, R., Hilton, K., Del Alamo, A., Gemayel, K., Klimas, N. G., ... & Nathanson, L. (2019). Genetic predisposition for immune system, hormone, and metabolic dysfunction in myalgic encephalomyelitis/chronic fatigue syndrome: a pilot study. Frontiers in Pediatrics, 7, 423831.","Bedford, F. L., & Greshake Tzovaras, B. (2021). Re-analysis of genetic risks for Chronic Fatigue Syndrome from 23andMe data finds few remain. Frontiers in Pediatrics, 9, 590040."
"Healthy out-group members are represented psychologically as infected in-group members","","https://osf.io/xwn9m/","Failure","Petersen, M. B. (2017). Healthy out-group members are represented psychologically as infected in-group members. Psychological Science, 28(12), 1857-1863.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Higher social class predicts increased unethical behavior","","https://osf.io/xwn9m/","OS not significant","Piff, P. K., Stancato, D. M., Côté, S., Mendoza-Denton, R., & Keltner, D. (2012). Higher social class predicts increased unethical behavior. Proceedings of the National Academy of Sciences, 109(11), 4086-4091.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Linguistic intergroup bias informs social categorization","","https://osf.io/xwn9m/","Success","Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Linguistic intergroup bias informs social categorization","","https://osf.io/xwn9m/","Success","Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Linguistic intergroup bias informs social categorization","","https://osf.io/xwn9m/","Failure","Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Linguistic intergroup bias informs social categorization","","https://osf.io/xwn9m/","Success","Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"A gender bias in the attribution of creativity: perceived association between masculinity and creative thinking","","https://osf.io/xwn9m/","Failure (reversal)","Proudfoot, D., Kay, A. C., & Koval, C. Z. (2015). A gender bias in the attribution of creativity: Archival and experimental evidence for the perceived association between masculinity and creative thinking. Psychological science, 26(11), 1751-1761.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.","Adolescent, Adult, African Continental Ancestry Group [psychology], Cues, Cultural Diversity, Female, Hierarchy, Social, Humans, Judgment, Male, Organizational Culture, Prejudice, Rejection (Psychology), Social Identification, Social Values, Stereotyping, Trust","https://osf.io/etg7c/","Failure","Purdie-Vaughns, V., Steele, C.M., Davies, P.G., Ditlmann, R., & Crosby, J.R. (2008). Social identity contingencies: How diversity cues signal threat or safety for african americans in mainstream institutions. Journal of Personality and Social Psychology, 94(4), 615-630.","Schmidt, K. (2023, September 28). Secondary Replication of V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby (2008, JPSP 94(4), Exp. 3)."
"testing improves memory","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Success","Pyc, M. A., & Rawson, K. A. (2010). Why testing improves memory: Mediator effectiveness hypothesis. Science, 330(6002), 335-335.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Writing about testing worries boosts exam performance in the classroom","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Failure","Ramirez, G., & Beilock, S. L. (2011). Writing about testing worries boosts exam performance in the classroom. science, 331(6014), 211-213.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Spontaneous giving and calculated greed","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Failure","Rand, D. G., Greene, J. D., & Nowak, M. A. (2012). Spontaneous giving and calculated greed. Nature, 489(7416), 427-430.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time","Adult, Association, Attitude, Decision Making, Feedback, Psychological, Female, Generalization, Response, Humans, Individuality, Interpersonal Relations, Judgment, Male, Mental Recall, Middle Aged, Personality Inventory, Social Behavior, Social Identification","https://osf.io/2gkjt/","OS not significant","Ranganath, K. A., & Nosek, B. A. (2008). Implicit attitude generalization occurs immediately; explicit attitude generalization takes time. Psychological Science, 19(3), 249-254.","Cohn, M. (2023, September 28). Replication of Ratliff (Ranganath) & Nosek, 2008, Psych Science. Retrieved from osf.io/2gkjt"
"Neural mechanisms of attentional shifts due to irrelevant spatial and numerical cues","","https://osf.io/xwn9m/","OS not significant","Ranzini, M., Dehaene, S., Piazza, M., & Hubbard, E. M. (2009). Neural mechanisms of attentional shifts due to irrelevant spatial and numerical cues. Neuropsychologia, 47(12), 2615-2624.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Weighing accumulated outcomes against outcome-adjusted delays","","https://osf.io/xwn9m/","Failure","Read, D., & Scholten, M. (2012). Tradeoffs between sequences: Weighing accumulated outcomes against outcome-adjusted delays. Journal of Experimental Psychology: Learning, Memory, and Cognition, 38(6), 1675.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Variety reduces perceived quantity","gestalt, heterogeneity, homogeneity, quantity estimation, variety","https://osf.io/9s4w7/","Failure","Redden, J. P., & Hoch, S. J. (2009). The presence of variety reduces perceived quantity. Journal of Consumer Research, 36(3), 406-417., Study 1","Röseler, L., Felser, G., Asberger, J., & Schütz, A. (2020, October 23). No effect of variety on perceived quantity: Evidence from six studies. (Study 5)"
"Variety reduces perceived quantity","gestalt, heterogeneity, homogeneity, quantity estimation, variety","https://osf.io/9s4w7/","Failure","Redden, J. P., & Hoch, S. J. (2009). The presence of variety reduces perceived quantity. Journal of Consumer Research, 36(3), 406-417., Study 1","Röseler, L., Felser, G., Asberger, J., & Schütz, A. (2020, October 23). No effect of variety on perceived quantity: Evidence from six studies. (Study 4)"
"Variety reduces perceived quantity","gestalt, heterogeneity, homogeneity, quantity estimation, variety","https://osf.io/9s4w7/","Failure","Redden, J. P., & Hoch, S. J. (2009). The presence of variety reduces perceived quantity. Journal of Consumer Research, 36(3), 406-417., Study 3","Röseler, L., Felser, G., Asberger, J., & Schütz, A. (2020, October 23). No effect of variety on perceived quantity: Evidence from six studies. (Study 3)"
"Predicting users' first impressions of website aesthetics with a quantification of perceived visual complexity and colorfulness","","https://osf.io/xwn9m/","Success","Reinecke, K., Yeh, T., Miratrix, L., Mardiko, R., Zhao, Y., Liu, J., & Gajos, K. Z. (2013, April). Predicting users' first impressions of website aesthetics with a quantification of perceived visual complexity and colorfulness. In Proceedings of the SIGCHI conference on human factors in computing systems (pp. 2049-2058).","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Perceived partner responsiveness promotes intellectual humility","","https://osf.io/xwn9m/","Success","Reis, H. T., Lee, K. Y., O'Keefe, S. D., & Clark, M. S. (2018). Perceived partner responsiveness promotes intellectual humility. Journal of Experimental Social Psychology, 79, 21-33.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"behavioral age group differences in Theory of Mind (ToM) in adulthood","","","Success","Reiter, A. M. F., Kanske, P., Eppinger, B., & Li, S. C. (2017). The Aging of the Social Mind - Differential Effects on Components of Social Understanding. Scientific reports, 7(1), 11046.","Stietz, J., Pollerhoff, L., Kurtz, M., Li, S. C., Reiter, A. M. F., & Kanske, P. (2021). The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age. Royal Society open science, 8(8), 210641."
"behavioral age group differences in compassion in adulthood","","","Failure (reversal)","Reiter, A.M.F., Kanske, P., Eppinger, B. et al. The Aging of the Social Mind - Differential Effects on Components of Social Understanding. Sci Rep 7, 11046 (2017).","Stietz, J., Pollerhoff, L., Kurtz, M., Li, S. C., Reiter, A. M. F., & Kanske, P. (2021). The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age. Royal Society open science, 8(8), 210641."
"behavioral age group differences in empathy in adulthood","","","OS not significant","Reiter, A.M.F., Kanske, P., Eppinger, B. et al. The Aging of the Social Mind - Differential Effects on Components of Social Understanding. Sci Rep 7, 11046 (2017).","Stietz, J., Pollerhoff, L., Kurtz, M., Li, S. C., Reiter, A. M. F., & Kanske, P. (2021). The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age. Royal Society open science, 8(8), 210641."
"interaction effect of high vs. low anchor and time pressure vs. no time pressure.","anchoring, anchoring effect, numeric priming, replication, subliminal","https://www.osf.io/gh52k","OS not significant","Reitsma-van Rooijen, M., & Daamen, D. D. (2006). Subliminal anchoring: The effects of subliminally presented numbers on probability estimates. Journal of Experimental Social Psychology, 42(3), 380-387.","Röseler, L., Schütz, A., Burlakovas, E., Dück, M., Fels, S., Janiczek, S., … Seida, C. (2022, September 15). Replication of Reitsma-van Rooijen and Daamen  (2006)."
"When giving numerical estimates, people are biased towards a previously subliminally presented value","anchoring, anchor, numerical estimates, anchoring and adjustment, heuristics and biases, subliminal anchoring","https://osf.io/ygnvb/","Failure","Reitsma-van Rooijen, M., & Daamen, D. D. L. (2006). Subliminal anchoring: The effects of subliminally presented numbers on probability estimates. Journal of Experimental Social Psychology, 42(3), 380–387.","Röseler, L., Schütz, A., Blank, P. A., Dück, M., Fels, S., Kupfer, J., Scheelje, L., & Seida, C. (2021). Evidence against subliminal anchoring: Two close, highly powered, preregistered, and failed replication attempts. Journal of Experimental Social Psychology, 92, 104066."
"Contextual effects on reading aloud: Evidence for pathway control.","Attention, Humans, Phonetics, Reaction Time, Reading, Semantics, Speech, Writing","https://osf.io/hasfu/","OS not significant","Reynolds, M., & Besner, D. (2008). Contextual effects on reading aloud: Evidence for pathway control. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 50.","Lai, C. K., & Simpson, W. B. (2023, September 28). Replication of Reynolds & Besner (2008, JEP:LMC, Study 5). Retrieved from osf.io/hasfu"
"The threat of appearing prejudiced and race-based attentional biases.","Adult, Anxiety [psychology], Arousal [physiology], Attention, Attitude, Bias (Epidemiology), Facial Expression, Female, Humans, Male, Prejudice","https://osf.io/c5fza/","OS not significant","Richeson, J. A., & Trawalter, S. (2008). The threat of appearing prejudiced and race-based attentional biases. Psychological Science, 19(2), 98-102.",""
"Memory and cognitive control in task switching","","https://osf.io/xwn9m/","OS not significant","Richter, F. R., & Yeung, N. (2012). Memory and cognitive control in task switching. Psychological Science, 23(10), 1256-1263.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Reluctance to tempt fate","Many Labs 2","https://osf.io/8cd4r/","Success","Risen, J. L., & Gilovich, T. (2008). Why people are reluctant to  tempt fate. Journal of Personality and Social Psychology, 95, 293–307.  Study 2","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Why people are reluctant to tempt fate","","https://osf.io/xwn9m/","Success","Risen, J. L., & Gilovich, T. (2008). Why people are reluctant to tempt fate. Journal of personality and social psychology, 95(2), 293.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Tracing attention and the activation flow in spoken word planning using eye movements.","Association Learning, Attention, Color Perception, Computer Simulation, Eye Movements, Field Dependence-Independence, Humans, Pattern Recognition, Visual, Phonetics, Reaction Time, Reading, Semantics, Verbal Behavior","https://osf.io/qwkum/","Failure","Roelofs, A. (2008). Tracing attention and the activation flow in spoken word planning using eye movements. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 353-368.","Van Rijn, H., & Scholz, S. (2023, September 28). Replication of A Roelofs (2008, JEPLMC 34(2), Exp 3). Retrieved from osf.io/qwkum"
"Freezing is an adaptive defensive response to a stressful event. It is characterized by reduced body motion, reduced heart rate (bradycardia), and increased muscle tonus. Social threats in the context of these studies are stimuli of angry faces.","Freezing response to social threat","","Success","Roelofs, K., Hagenaars, M. A., & Stins, J. (2010). Facing freeze: Social threat induces bodily freeze in humans. Psychological Science, 21, 1575–1581.","Noordewier, M. K., Scheepers, D. T., & Hilbert, L. P. (2020). Freezing in response to social threat: a replication. Psychological Research, 84, 1890-1896."
"The risks and rewards of using truthful statements to mislead others","","https://osf.io/xwn9m/","Failure","Rogers, T., Zeckhauser, R., Gino, F., Norton, M. I., & Schweitzer, M. E. (2017). Artful paltering: The risks and rewards of using truthful statements to mislead others. Journal of personality and social psychology, 112(3), 456.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Choice boosts curiosity","","https://osf.io/xwn9m/","OS not significant","Romero Verdugo, P., van Lieshout, L. L., de Lange, F. P., & Cools, R. (2020). Choice boosts curiosity. Psychological Science, 09567976221082637.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Participants tend to prefer the healthy item (broccoli salad) when it is on the left (vs. right) of the images","Sensory Marketing","https://osf.io/tnmvq/","Failure","Romero, M., and Biswas, D. (2016). Healthy-left, unhealthy-right: can displaying healthy. items to the left (vs. right) of unhealthy items nudge healthier choices? J. Consum. Res. 43, 103–112. doi:  Study 1b","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"Standing is better than sitting for attention performance on the Stroop task","Stroop, posture, standing, attention, cognitive control","http://rabrams.net (under Resources tab)","Failure","Rosenbaum, D., Mama, Y., & Algom, D. (2017). Stand by your Stroop: Standing up enhances selective attention and cognitive control. Psychological Science, 28, 1864–1867.","Smith, K.C., Davoli, C.C., Knapp, W.H., Abrams, R.A.A. (2019). Standing enhances cognitive control and alters visual search. Attention, Perception, & Psychophysics, 81, 2320–2329"
"Standing is better than sitting for attention performance on the Stroop task","Stroop, posture, standing, attention, cognitive control","t http:// journals.sagepub.com/doi/suppl/10.1177/0956797620953842","Failure","Rosenbaum, D., Mama, Y., & Algom, D. (2017). Stand by your Stroop: Standing up enhances selective attention and cognitive control. Psychological Science, 28, 1864–1867.","Caron, E. E., Reynolds, M. G., Ralph, B. C., Carriere, J. S., Besner, D., & Smilek, D. (2020). Does posture influence the Stroop effect?. Psychological Science, 31(11), 1452-1460."
"False consensus: traffic-ticket scenario","Many Labs 2","https://osf.io/8cd4r/","Success","Ross, L., Greene, D., & House, P. (1977). The “false consensus effect”: An egocentric bias in social perception and attribution processes. Journal of Experimental Social Psychology, 13, 279–301.  Study 1","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
